gpsc	stCount	st
11	76	193, 410, 889, 1145, 1228, 1262, 1358, 2575, 2814, 2927, 3065, 3689, 4893, 4989, 4990, 5139, 5281, 5848, 6031, 6237, 6444, 6560, 6787, 7068, 7435, 7436, 7600, 7601, 7619, 7723, 9516, 9517, 9692, 9975, 10065, 10227, 10721, 10774, 10783, 10854, 10885, 10951, 11003, 11023, 11031, 11035, 11059, 11730, 11760, 11920, 12138, 12214, 12262, 12391, 12517, 12518, 12602, 12838, 13871, 14517, 15590, 15675, 15894, 16293, 16723, 16751, 16755, 16757, 16789, 16857, 16902, 16940, 17049, 17050, 17052, 17134
12	26	180, 505, 2049, 3798, 3805, 4655, 4735, 5616, 6012, 6013, 9060, 10179, 10511, 10768, 11873, 11928, 12206, 12319, 12734, 12736, 13739, 15069, 15583, 16294, 16714, 17058
13	121	398, 471, 473, 497, 647, 660, 690, 1096, 1588, 1717, 1876, 1927, 2285, 2295, 3822, 4087, 4957, 5055, 5073, 5470, 5501, 5611, 5622, 5679, 6372, 6373, 6382, 6390, 6778, 6867, 7073, 7097, 7310, 7313, 7423, 7733, 7736, 7744, 8003, 8696, 8698, 9506, 9532, 9533, 9555, 9575, 9915, 9919, 9920, 9923, 10630, 10664, 10671, 10701, 10704, 10713, 10717, 10718, 10736, 10748, 10750, 10773, 10832, 10844, 10847, 10888, 10898, 10915, 10934, 10948, 10955, 11042, 11099, 11121, 11123, 11125, 12168, 12225, 12227, 12338, 12493, 12503, 12516, 12529, 12545, 12548, 12553, 12561, 12568, 12570, 12605, 13163, 13901, 13902, 13922, 14410, 14514, 15353, 15830, 15934, 16291, 16762, 16769, 16793, 16806, 16843, 16853, 16854, 16861, 16892, 16904, 16919, 16924, 16951, 17079, 17082, 17115, 17117, 17123, 17127, 17129
14	58	240, 242, 805, 880, 1441, 1443, 1444, 1445, 2059, 2651, 3140, 3176, 3400, 5653, 6279, 6285, 6305, 6344, 7866, 8299, 8327, 8334, 8335, 8336, 8337, 8716, 8741, 9237, 9911, 9932, 10571, 10604, 10653, 10735, 10738, 10791, 10796, 10816, 10818, 10859, 10925, 10936, 11056, 11069, 11088, 11092, 12147, 12347, 12405, 12562, 12612, 12773, 16090, 16100, 16855, 16923, 17093, 17133
15	9	191, 1062, 1589, 4665, 5782, 10162, 10765, 11728, 16198
16	55	66, 67, 70, 71, 72, 73, 81, 83, 282, 517, 632, 634, 737, 738, 1591, 1623, 2216, 2346, 3386, 3800, 4913, 5593, 6215, 6216, 6219, 7452, 8809, 9145, 9257, 9747, 9770, 9904, 9905, 10869, 11683, 12170, 12173, 12175, 12483, 12487, 12703, 12772, 12837, 12840, 13878, 13939, 14460, 15393, 15632, 15708, 15742, 15875, 16890, 16957, 17103
17	61	2057, 2062, 4869, 4870, 4872, 4873, 6121, 6255, 6258, 6261, 6262, 6266, 6268, 7056, 7057, 7072, 7895, 7897, 7899, 7903, 8303, 8307, 9457, 9900, 10628, 10634, 10690, 10693, 10741, 10756, 10790, 10843, 10870, 10952, 11065, 11076, 11085, 11114, 11122, 11677, 11678, 12152, 12154, 12226, 12521, 12564, 14429, 14647, 15358, 16849, 16872, 16884, 16894, 16899, 16916, 16933, 16937, 16964, 17128, 17130, 17142
18	65	9, 13, 15, 16, 18, 25, 43, 175, 423, 622, 721, 733, 984, 1006, 1201, 1492, 1797, 2258, 2652, 2922, 3162, 3907, 4191, 5468, 6144, 6809, 7027, 7448, 7485, 8006, 8753, 9054, 9898, 9899, 10183, 10616, 10705, 10747, 10799, 10814, 11675, 12232, 12242, 12273, 12552, 12699, 12836, 12851, 13332, 13867, 13931, 14432, 15177, 15183, 15751, 16847, 16877, 16895, 16912, 16928, 16946, 16956, 17107, 17119, 17125
19	15	433, 520, 1337, 1955, 4334, 4553, 7314, 9456, 10163, 10164, 10165, 10226, 10926, 12708, 12710
20	21	802, 4639, 6120, 6471, 6856, 9002, 9530, 9534, 9535, 9538, 10644, 10887, 12198, 12355, 12520, 12724, 12842, 12845, 16176, 16178, 16189
